# File: WEO2022_elec_params.csv,,,,,,,
# Title: Power technology assumptions of WEO2022,,,,,,,
# Units: in file,,,,,,,
# Source: WEO 2022 (https://www.iea.org/data-and-statistics/data-product/world-energy-outlook-2022-free-dataset#tables-for-scenario-projections),,,,,,,
# Comments: WEO technologies are mapped to GCAM technologies in energy/mappings/weo_elec_mapping.csv. Regions are mapped in energy/mappings/weo_elec_mapping.csv,,,,,,,
# Column types: cnnncccc,,,,,,,
# ----------,,,,,,,
region,2021,2030,2050,scenario,Unit,technology,subsector
Japan,NA,60,60,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
Russia,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
China,NA,40,40,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
India,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
Middle East,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
Africa,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
Brazil,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - large-scale unit,renewables
European Union,NA,80,75,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
United States,NA,80,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
Japan,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
Russia,NA,70,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
China,NA,40,40,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
India,NA,60,60,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
Middle East,NA,70,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
Africa,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
Brazil,NA,65,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Hydropower - small-scale unit,renewables
European Union,NA,80,75,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
United States,NA,85,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Japan,NA,80,75,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Russia,NA,75,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
China,NA,55,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
India,NA,75,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Middle East,NA,75,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Africa,NA,70,65,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
Brazil,NA,75,70,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Large scale unit,renewables
European Union,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
United States,NA,25,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
Japan,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
Russia,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
China,NA,15,15,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
India,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
Middle East,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
Africa,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
Brazil,NA,20,20,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Cofiring,renewables
European Union,NA,135,130,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
United States,NA,145,140,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
Japan,NA,140,135,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
Russia,NA,125,115,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
China,NA,90,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
India,NA,100,95,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
Middle East,NA,100,95,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
Africa,NA,100,95,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
Brazil,NA,105,100,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy - Medium-scale CHP,renewables
European Union,NA,145,125,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
United States,NA,145,125,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
Japan,NA,140,120,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
Russia,NA,130,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
China,NA,100,85,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
India,NA,120,100,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
Middle East,NA,130,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
Africa,NA,125,105,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
Brazil,NA,120,105,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Bioenergy + CCUS,renewables
European Union,NA,170,120,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
United States,NA,200,140,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
Japan,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
Russia,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
China,NA,140,100,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
India,NA,170,120,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
Middle East,NA,150,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
Africa,NA,150,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
Brazil,NA,160,110,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Concentrating solar power,renewables
European Union,NA,55,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
United States,NA,40,35,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
Japan,NA,50,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
Russia,NA,40,35,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
China,NA,40,40,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
India,NA,65,60,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
Middle East,NA,40,40,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
Africa,NA,55,50,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Geothermal,renewables
European Union,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
United States,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
Japan,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
Russia,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
China,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
India,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
Middle East,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
Africa,NA,120,80,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Annual O&M Costs
(USD/kW)",Marine,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
Brazil,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Large scale unit,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
Brazil,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Solar photovoltaics - Buildings,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
Brazil,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind onshore,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
Brazil,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Wind offshore,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
Brazil,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - large-scale unit,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
Brazil,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Hydropower - small-scale unit,renewables
European Union,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
United States,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Japan,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Russia,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
China,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
India,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Middle East,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Africa,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
Brazil,NA,0.35,0.35,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Large scale unit,renewables
European Union,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
United States,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Japan,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Russia,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
China,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
India,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Middle East,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Africa,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
Brazil,NA,0.37,0.37,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Cofiring,renewables
European Union,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
United States,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Japan,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Russia,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
China,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
India,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Middle East,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Africa,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
Brazil,NA,0.7,0.7,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy - Medium-scale CHP,renewables
European Union,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
United States,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Japan,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Russia,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
China,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
India,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Middle East,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Africa,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
Brazil,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Bioenergy + CCUS,renewables
European Union,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
United States,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Japan,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Russia,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
China,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
India,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Middle East,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Africa,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
Brazil,NA,0.4,0.4,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Concentrating solar power,renewables
European Union,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
United States,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
Japan,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
Russia,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
China,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
India,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
Middle East,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
Africa,NA,0.1,0.1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Geothermal,renewables
European Union,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
United States,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
Japan,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
Russia,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
China,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
India,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
Middle East,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
Africa,NA,1,1,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
Brazil,NA,NA,NA,Net.Zero.Emissions.by.2050,"Efficiency
(gross, LHV)",Marine,renewables
European Union,NA,0.14,0.14,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
United States,NA,0.22,0.23,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Japan,NA,0.14,0.14,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Russia,NA,0.13,0.14,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
China,NA,0.18,0.19,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
India,NA,0.21,0.22,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Middle East,NA,0.25,0.26,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Africa,NA,0.23,0.23,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
Brazil,NA,0.21,0.22,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Large scale unit,renewables
European Union,NA,0.13,0.14,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
United States,NA,0.17,0.17,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Japan,NA,0.13,0.13,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Russia,NA,0.1,0.11,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
China,NA,0.15,0.15,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
India,NA,0.17,0.18,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Middle East,NA,0.19,0.2,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Africa,NA,0.19,0.19,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
Brazil,NA,0.18,0.18,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Solar photovoltaics - Buildings,renewables
European Union,NA,0.3,0.3,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
United States,NA,0.43,0.44,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
Japan,NA,0.28,0.29,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
Russia,NA,0.29,0.31,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
China,NA,0.27,0.28,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
India,NA,0.28,0.3,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
Middle East,NA,0.35,0.36,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
Africa,NA,0.33,0.34,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
Brazil,NA,0.44,0.44,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind onshore,renewables
European Union,NA,0.56,0.59,Net.Zero.Emissions.by.2050,"Capacity factor
(%)",Wind offshore,renewables
